,Date,GameID,Season,M/F,Team1,Team2,Score1,Score2,Player1Team1,Player2Team1,Player3Team1,Player4Team1,Player5Team1,Player6Team1,Player7Team1,Player8Team1,Player9Team1,Player10Team1,Player11Team1,Player12Team1,Player13Team1,Player14Team1Player1Team2,Player2Team2,Player3Team2,Player4Team2,Player5Team2,Player6Team2,Player7Team2,Player8Team2,Player9Team2,Player10Team2,Player11Team2,Player12Team2,Player13Team2,Player14Team2,Player14Team1,Player1Team2
226,2020/10/25,1010.0,2020/2021,M,TSV Unterhaching,BERLIN RECYCLING Volleys,0,3,Suck Fabian,Zahar George Alexandru,Sagstetter Jonas,Sagstetter Benedikt,Topuzliev Simeon,Graven Leonard,Brandt Severin,Brandt Niklas,Petrusic Juro,Thom Benjamin,Gehringer Paul,Friedrich Roy,Paduretu Eric,,Moraes Davy,Michelucci Renan,Grankin Sergey,Baghdady Robin,Brehme Anton,Carle Timothée,Zenger Julian,Kessel Cody,Tuia Samuele,Patch Benjamin,Carbonera Éder,Pujol Pierre,-,-,Kowalski Adam
227,2020/11/07,1208.0,2020/2021,M,SVG Lüneburg,VCO Berlin,3,0,Koslowsky Tyler,Dervisaj Leon,Ewert Jordan,Lindberg Viktor,Pörner Jannik,Craft William,Gerken Hannes,Krage Florian,Schlien Michel,-,-,-,-,,Eckardt Moritz,Hosch Tobias,Möller Onno,Röhrs Erik,Hoyer Julian,John Filip,Lind Jonas,Hüther Franz,Schulz Max,Just Maximilian,Reusch Johann,Breburda Jan,Brentel Jannik,-,Kersting Maximilian
228,2019/11/09,1027.0,2019/2020,M,Netzhoppers KW-Bestensee,VfB Friedrichshafen,1,3,Herr Luke Thomas A.,Jalowietzki Jan,Scholten Iris,Ofoha Uchenna,Erdmann Jonathan,Klooss Adrian Lennart,Westphal Dirk,Just Maximilian,Ratajczak Kamil,Timmermann Theo,-,-,-,,Kocian Tomas,Späth-Westerholt Thilo,Mote Nehemiah,Menner Anton,Balean Rares,Janouch Jakub,Juhkami Martti,Malescha Daniel,Günthör Jakob,Steuerwald Markus,Gjorgiev Nikola,Schmidt Brendan,-,-,Worsley Joseph
229,2020/02/29,1110.0,2019/2020,M,SVG Lüneburg,SWD powervolleys DÜREN,0,3,Koslowsky Tyler,van Solkema Gijs,Ronkainen Antti,Dervisaj Leon,Lindberg Viktor,Pörner Jannik,Brehme Anton,Scheerhoorn Blake,Krage Florian,Michelau Michael,Schlien Michel,-,-,,Broshog Tim,Zachrich Jaromir,Schumann Philipp,Andrae Björn,Bogachev Egor,Brand Tobias,Andrei Michael,Burggräf Eric,Gevert Sebastián,Maase Lukas,Kocian Tomas,-,-,-,Batanov Ivan
230,2020/02/01,2095.0,2019/2020,F,Ladies in Black Aachen,VC Wiesbaden,3,0,Agbortabi Vanessa,Divoux Aziliz,Thater Emily Grace,Blenckers Lynn,Polder Tessa,Jasper Hester,Olimstad Emilie,Malik Polina,Storck Maja,Hindriksen Mareike,-,-,-,,Großer Tanja,Wilczek Natalie,Hetmann Selma Theresa,Welsch Laurenz,Vyklická Klara,Neuhaus Frauke,Wesser Julia,Dugan Shannon,Vedder Lena,Bjerland Renate,Bock Linda,-,-,-,Oud Nynke
231,2020/11/29,1218.0,2020/2021,M,VCO Berlin,United Volleys Frankfurt,0,3,Kersting Maximilian,Eckardt Moritz,Hosch Tobias,Frohberg Marco,Röhrs Erik,Hoyer Julian,John Filip,Amedegnato Djifa Julien,Hüther Franz,Schulz Max,Just Maximilian,Reusch Johann,Breburda Jan,,Urban Melf,Baxpöhler Noah,Grozer Tim,Schöps Jochen,Malescha Daniel,Günthör Jakob,Schmidgall Mario,Quiroga Rodrigo,Valkiers Matthias,Hüger Linus,-,-,-,-,Tsuiki Satoshi
232,2021/01/23,1062.0,2020/2021,M,SVG Lüneburg,WWK Volleys Herrsching,3,2,Koslowsky Tyler,Ewert Jordan,van Solkema Gijs,Lindberg Viktor,Pörner Jannik,Craft William,Gerken Hannes,Peemüller Richard,Krage Florian,-,-,-,-,,Lembach Justus,Peter Tim,van der Ent Luuc Cornelius,Tille Johannes,Tille Ferdinand,Kaminski Jonas,Ferch Iven Fietje,Welsch Laurenz,Mantha Jori Alexander,Penrose Jalen,Wieczorek David Matthew,-,-,-,Ilic Dorde
233,2020/03/03,2118.0,2019/2020,F,Rote Raben Vilsbiburg,SC Potsdam,0,3,Przybylak Daria,Nagy Eszter,Möller Onno,Glaab Corina,Scholten Iris,Valdez Pol Nelmaira Carol,Schoot Myrthe Mathilde,Bock Josepha,Ortiz Ruiz Neira Marina,Hötschl Paula,Taylor Nikki Leialoha,Guilliams Jodie,Busch Amelie,,Abercrombie Brittany,Medic Sofija,Stautz Antonia,Escamilla Ana,Schulz Max,Grundt Lena,Hölzig Annegret,Imoudu Denise,Jegdic Aleksandra,Emonts Laura,-,-,-,-,Wilczek Natalie
234,2020/03/07,2122.0,2019/2020,F,NawaRo Straubing,Dresdner SC,1,3,Steen Knudsen Ragni,Stöhr Tim,Jatzko Romy,Lovo Steinsvag Oda,Turla Sofia,Ismaili Valbona,Große Scharmann Lena,Guilliams Jodie,Izquierdo-Mocasqui Lisa,Dreblow Sophie,-,-,-,,von Römer Mareen,Cyris Emma,Rolfzen Kadie,de Zwart Laura,Strubbe Monique,Keller Luisa,Stigrot Lena,Kapur Milorad,Kästner Pia,Radosova Nikola,King Brie Joy,Weitzel Camilla,Straube Sarah,-,Dürr Lenka
235,2019/12/01,1054.0,2019/2020,M,Helios GRIZZLYS Giesen,Netzhoppers KW-Bestensee,3,0,Ringseis Florian,Richards Jordan Benjamin,Gross Jasmine,Gärtner Moritz,Costa da Silva Paulo Victo,Kaminski Jonas,Stalekar Saso,Siirilä Tommi Juhani,Staples Max William,Francös Pedro Henrique,Clere Jerome Claude Pierr,Duarte Souza Da Silva Do,Kronthaler Niklas,,Jalowietzki Jan,Scholten Iris,Ofoha Uchenna,Erdmann Jonathan,Klooss Adrian Lennart,Westphal Dirk,Just Maximilian,Ratajczak Kamil,Timmermann Theo,Guerra Uteau Simön,-,-,-,-,Herr Luke Thomas A.
